,0_precision,0_recall,0_f1-score,0_support,1_precision,1_recall,1_f1-score,1_support,micro avg_precision,micro avg_recall,micro avg_f1-score,micro avg_support,macro avg_precision,macro avg_recall,macro avg_f1-score,macro avg_support,weighted avg_precision,weighted avg_recall,weighted avg_f1-score,weighted avg_support,recall,precision,f1_score,model_type,params,auroc
0,0.9335443037974683,0.7887700534759359,0.855072463768116,374,0.3629032258064516,0.6818181818181818,0.4736842105263158,66,0.7727272727272727,0.7727272727272727,0.7727272727272727,440,0.64822376480196,0.7352941176470589,0.6643783371472158,440,0.8479481420988159,0.7727272727272727,0.7978642257818459,440,0.6818181818181818,0.3629032258064516,0.4736842105263158,naive_bayes,{'nb__alpha': 1},0.7985334629719657
0,0.9187817258883249,0.9679144385026738,0.9427083333333333,374,0.7391304347826086,0.5151515151515151,0.6071428571428571,66,0.9,0.9,0.9,440,0.8289560803354667,0.7415329768270944,0.7749255952380951,440,0.8918340322224675,0.9,0.8923735119047618,440,0.5151515151515151,0.7391304347826086,0.6071428571428571,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.8909009884945714
0,0.9102244389027432,0.9759358288770054,0.9419354838709678,374,0.7692307692307693,0.45454545454545453,0.5714285714285714,66,0.8977272727272727,0.8977272727272727,0.8977272727272727,440,0.8397276040667563,0.7152406417112299,0.7566820276497697,440,0.8890753884519471,0.8977272727272727,0.8863594470046083,440,0.45454545454545453,0.7692307692307693,0.5714285714285714,xgboost,,0.9130610922054772
0,0.9107142857142857,0.9545454545454546,0.9321148825065275,374,0.6458333333333334,0.4696969696969697,0.5438596491228069,66,0.8818181818181818,0.8818181818181818,0.8818181818181818,440,0.7782738095238095,0.7121212121212122,0.7379872658146672,440,0.8709821428571428,0.8818181818181818,0.8738765974989695,440,0.4696969696969697,0.6458333333333334,0.5438596491228069,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8758710095608491
0,0.8870192307692307,0.9813829787234043,0.9318181818181819,376,0.7307692307692307,0.2878787878787879,0.41304347826086957,66,0.8778280542986425,0.8778280542986425,0.8778280542986425,442,0.8088942307692307,0.6346308833010961,0.6724308300395258,442,0.8636877828054299,0.8778280542986425,0.8543540858118863,442,0.2878787878787879,0.7307692307692307,0.41304347826086957,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.001}",0.84642972275951
0,0.9066339066339066,0.9813829787234043,0.942528735632184,376,0.8,0.42424242424242425,0.5544554455445544,66,0.8981900452488688,0.8981900452488688,0.8981900452488688,442,0.8533169533169533,0.7028127014829143,0.7484920905883692,442,0.8907111965935496,0.8981900452488688,0.8845811402797324,442,0.42424242424242425,0.8,0.5544554455445544,decision_tree,"{'dt__criterion': 'entropy', 'dt__max_depth': 6, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.8407680528691167
0,0.9278688524590164,0.7526595744680851,0.8311306901615272,376,0.32116788321167883,0.6666666666666666,0.43349753694581283,66,0.7398190045248869,0.7398190045248869,0.7398190045248869,442,0.6245183678353476,0.7096631205673758,0.6323141135536701,442,0.8372754950600927,0.7398190045248869,0.7717556039347463,442,0.6666666666666666,0.32116788321167883,0.43349753694581283,naive_bayes,{'nb__alpha': 0.5},0.7682543520309478
0,0.9106699751861043,0.976063829787234,0.9422336328626445,376,0.7692307692307693,0.45454545454545453,0.5714285714285714,66,0.8981900452488688,0.8981900452488688,0.8981900452488688,442,0.8399503722084367,0.7153046421663443,0.756831102145608,442,0.8895500937538597,0.8981900452488688,0.8868645512910408,442,0.45454545454545453,0.7692307692307693,0.5714285714285714,logistic_regression,"{'lr__C': 11.288378916846883, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.924806576402321
0,0.8973105134474327,0.976063829787234,0.935031847133758,376,0.7272727272727273,0.36363636363636365,0.4848484848484849,66,0.8846153846153846,0.8846153846153846,0.8846153846153846,442,0.8122916203600801,0.6698500967117988,0.7099401659911214,442,0.8719202557833364,0.8846153846153846,0.8678098971092602,442,0.36363636363636365,0.7272727272727273,0.4848484848484849,xgboost,,0.9168278529980658
0,0.917910447761194,0.9813829787234043,0.948586118251928,376,0.825,0.5,0.6226415094339622,66,0.9095022624434389,0.9095022624434389,0.9095022624434389,442,0.871455223880597,0.7406914893617021,0.7856138138429452,442,0.9040369419868981,0.9095022624434389,0.899915656301734,442,0.5,0.825,0.6226415094339622,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.8763700838168923
