,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_profit_ration,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,0.9318181818181819,0.9534883720930233,0.9111111111111111,45.0,,,,,0.5714285714285715,0.5,0.6666666666666666,6.0,,,,,0.8851851851851851,20,0.4166666666666667,0.5,0.5714285714285715,0.7516233766233766,0.7267441860465116,0.7888888888888889,51,0.8823529411764706,0.8823529411764706,0.8823529411764706,51,naive_bayes,{'nb__alpha': 0.25},0.5,0.6666666666666666,0.8894194041252866,0.9001367989056087,0.8823529411764706,51
0,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,,,,,0.6888888888888889,26,0.5416666666666666,0.55,0.6666666666666666,0.8111111111111111,0.8111111111111111,0.8111111111111111,51,0.9215686274509803,0.9215686274509803,0.9215686274509803,51,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.6666666666666666,0.6666666666666666,0.9215686274509803,0.9215686274509803,0.9215686274509803,51
0,0.9438202247191012,0.9545454545454546,0.9333333333333333,45.0,,,,,0.6153846153846153,0.5714285714285714,0.6666666666666666,6.0,,,,,0.8111111111111111,23,0.4791666666666667,0.2,0.6153846153846153,0.7796024200518583,0.762987012987013,0.8,51,0.9019607843137255,0.9019607843137255,0.9019607843137255,51,xgboost,,0.5714285714285714,0.6666666666666666,0.9051807412679852,0.9094728800611154,0.9019607843137255,51
0,0.9375,0.8823529411764706,1.0,45.0,,,,,0.0,0.0,0.0,6.0,,,,,0.4962962962962963,0,0.0,0.5750000000000001,0.0,0.46875,0.4411764705882353,0.5,51,0.8823529411764706,0.8823529411764706,0.8823529411764706,51,adaboost,,0.0,0.0,0.8272058823529411,0.7785467128027681,0.8823529411764706,51
0,0.9473684210526316,0.9,1.0,45.0,,,,,0.2857142857142857,1.0,0.16666666666666666,6.0,,,,,0.662962962962963,8,0.16666666666666666,0.375,0.2857142857142857,0.6165413533834587,0.95,0.5833333333333334,51,0.9019607843137255,0.9019607843137255,0.9019607843137255,51,gradientboost,,1.0,0.16666666666666666,0.8695267580716498,0.9117647058823529,0.9019607843137255,51
0,0.9555555555555556,0.9555555555555556,0.9555555555555556,45.0,,,,,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0,,,,,0.9037037037037037,26,0.5416666666666666,0.25,0.6666666666666666,0.8111111111111111,0.8111111111111111,0.8111111111111111,51,0.9215686274509803,0.9215686274509803,0.9215686274509803,51,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.6666666666666666,0.6666666666666666,0.9215686274509803,0.9215686274509803,0.9215686274509803,51
0,0.8974358974358974,0.813953488372093,1.0,35.0,,,,,0.0,0.0,0.0,8.0,,,,,0.6714285714285714,0,0.0,0.025,0.0,0.4487179487179487,0.4069767441860465,0.5,43,0.8139534883720931,0.813953488372093,0.813953488372093,43,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.01}",0.0,0.0,0.7304710793082886,0.6625202812330989,0.813953488372093,43
0,0.7368421052631579,0.9545454545454546,0.6,35.0,,,,,0.48275862068965514,0.3333333333333333,0.875,8.0,,,,,0.7410714285714286,14,0.21875,0.025,0.48275862068965514,0.6098003629764065,0.6439393939393939,0.7375,43,0.6511627906976745,0.6511627906976745,0.6511627906976745,43,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.3333333333333333,0.875,0.6895707592959945,0.8389711064129669,0.6511627906976745,43
0,0.8656716417910447,0.90625,0.8285714285714286,35.0,,,,,0.5263157894736842,0.45454545454545453,0.625,8.0,,,,,0.6535714285714285,22,0.34375,0.225,0.5263157894736842,0.6959937156323645,0.6803977272727273,0.7267857142857144,43,0.7906976744186046,0.7906976744186046,0.7906976744186046,43,naive_bayes,{'nb__alpha': 0.25},0.45454545454545453,0.625,0.8025356692668846,0.8222119450317124,0.7906976744186046,43
0,0.8253968253968255,0.9285714285714286,0.7428571428571429,35.0,,,,,0.5217391304347827,0.4,0.75,8.0,,,,,0.8142857142857143,21,0.328125,0.05,0.5217391304347827,0.6735679779158041,0.6642857142857144,0.7464285714285714,43,0.7441860465116278,0.7441860465116279,0.7441860465116279,43,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.4,0.75,0.7689023705201663,0.830232558139535,0.7441860465116279,43
0,0.8823529411764706,0.9090909090909091,0.8571428571428571,35.0,,,,,0.5555555555555556,0.5,0.625,8.0,,,,,0.8214285714285715,25,0.390625,0.07500000000000001,0.5555555555555556,0.7189542483660131,0.7045454545454546,0.7410714285714286,43,0.8139534883720931,0.813953488372093,0.813953488372093,43,xgboost,,0.5,0.625,0.8215534275725794,0.8329809725158561,0.813953488372093,43
0,0.8823529411764706,0.9090909090909091,0.8571428571428571,35.0,,,,,0.5555555555555556,0.5,0.625,8.0,,,,,0.7642857142857142,25,0.390625,0.47500000000000003,0.5555555555555556,0.7189542483660131,0.7045454545454546,0.7410714285714286,43,0.8139534883720931,0.813953488372093,0.813953488372093,43,adaboost,,0.5,0.625,0.8215534275725794,0.8329809725158561,0.813953488372093,43
0,0.9066666666666667,0.85,0.9714285714285714,35.0,,,,,0.36363636363636365,0.6666666666666666,0.25,8.0,,,,,0.7553571428571428,13,0.203125,0.25,0.36363636363636365,0.6351515151515152,0.7583333333333333,0.6107142857142858,43,0.8372093023255814,0.8372093023255814,0.8372093023255814,43,gradientboost,,0.6666666666666666,0.25,0.8056377730796335,0.8158914728682171,0.8372093023255814,43
0,0.9189189189189189,0.8717948717948718,0.9714285714285714,35.0,,,,,0.5,0.75,0.375,8.0,,,,,0.7785714285714286,21,0.328125,0.30000000000000004,0.5,0.7094594594594594,0.8108974358974359,0.6732142857142858,43,0.8604651162790697,0.8604651162790697,0.8604651162790697,43,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.75,0.375,0.84098051539912,0.8491353607632677,0.8604651162790697,43
0,0.9295774647887324,0.868421052631579,1.0,33.0,,,,,0.0,0.0,0.0,5.0,,,,,0.896969696969697,0,0.0,0.025,0.0,0.4647887323943662,0.4342105263157895,0.5,38,0.868421052631579,0.868421052631579,0.868421052631579,38,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.01}",0.0,0.0,0.8072646404744255,0.7541551246537397,0.868421052631579,38
0,0.8524590163934426,0.9285714285714286,0.7878787878787878,33.0,,,,,0.4,0.3,0.6,5.0,,,,,0.7151515151515152,3,0.075,0.125,0.4,0.6262295081967213,0.6142857142857143,0.6939393939393939,38,0.7631578947368421,0.7631578947368421,0.7631578947368421,38,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.3,0.6,0.7929249352890423,0.8458646616541352,0.7631578947368421,38
0,0.923076923076923,0.9375,0.9090909090909091,33.0,,,,,0.5454545454545454,0.5,0.6,5.0,,,,,0.8848484848484849,15,0.375,0.925,0.5454545454545454,0.7342657342657342,0.71875,0.7545454545454545,38,0.868421052631579,0.868421052631579,0.868421052631579,38,naive_bayes,{'nb__alpha': 0.25},0.5,0.6,0.8733897681266102,0.8799342105263158,0.868421052631579,38
0,0.9696969696969697,0.9696969696969697,0.9696969696969697,33.0,,,,,0.8000000000000002,0.8,0.8,5.0,,,,,0.9515151515151515,29,0.725,0.675,0.8000000000000002,0.884848484848485,0.8848484848484849,0.8848484848484849,38,0.9473684210526315,0.9473684210526315,0.9473684210526315,38,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.8,0.8,0.9473684210526315,0.9473684210526315,0.9473684210526315,38
